# x,y,rho,vel_x,vel_y,p
5.450000000000000400e-01,5.000000000000000104e-03,9.989448420547422103e-01,9.937674117573894184e-02,0.000000000000000000e+00,9.992624935631173599e-01
5.550000000000000488e-01,5.000000000000000104e-03,9.992716599240770714e-01,9.928334695163842927e-02,0.000000000000000000e+00,9.991521189401320058e-01
5.650000000000000577e-01,5.000000000000000104e-03,9.992716599192248417e-01,9.916779451294892300e-02,0.000000000000000000e+00,9.990155274238871064e-01
5.750000000000000666e-01,5.000000000000000104e-03,9.991698004438244185e-01,9.902362457259715478e-02,0.000000000000000000e+00,9.988451144225259926e-01
5.849999999999999645e-01,5.000000000000000104e-03,9.990218595348694386e-01,9.884417014446772454e-02,0.000000000000000000e+00,9.986330228416514521e-01
5.949999999999999734e-01,5.000000000000000104e-03,9.988370973864292290e-01,9.862457053396798956e-02,0.000000000000000000e+00,9.983735346287868628e-01
6.049999999999999822e-01,5.000000000000000104e-03,9.986180297377191817e-01,9.836486847005930512e-02,0.000000000000000000e+00,9.980667329039109026e-01
6.149999999999999911e-01,5.000000000000000104e-03,9.983721782784451548e-01,9.807348150264208475e-02,0.000000000000000000e+00,9.977225956957311848e-01
6.250000000000000000e-01,5.000000000000000104e-03,9.981158322734258181e-01,9.776962509619213648e-02,0.000000000000000000e+00,9.973638401773606832e-01
6.350000000000000089e-01,5.000000000000000104e-03,9.978740905939300632e-01,9.748303360889996882e-02,0.000000000000000000e+00,9.970255705367312427e-01
6.450000000000000178e-01,5.000000000000000104e-03,9.976775341988735057e-01,9.724997234402402158e-02,0.000000000000000000e+00,9.967505564681589103e-01
6.550000000000000266e-01,5.000000000000000104e-03,9.975561152317413693e-01,9.710597826511808972e-02,0.000000000000000000e+00,9.965806756331374583e-01
6.650000000000000355e-01,5.000000000000000104e-03,9.975320031395062959e-01,9.707735610235700141e-02,0.000000000000000000e+00,9.965469137936050492e-01
6.750000000000000444e-01,5.000000000000000104e-03,9.976138041348259211e-01,9.717430380378089261e-02,0.000000000000000000e+00,9.966612929766298645e-01
6.850000000000000533e-01,5.000000000000000104e-03,9.977941954750942921e-01,9.738810417696186494e-02,0.000000000000000000e+00,9.969135728454060486e-01
6.950000000000000622e-01,5.000000000000000104e-03,9.980517292192150336e-01,9.769328189446130351e-02,0.000000000000000000e+00,9.972737725973297440e-01
7.050000000000000711e-01,5.000000000000000104e-03,9.983560154454934610e-01,9.805377653178908026e-02,0.000000000000000000e+00,9.976994087410531176e-01
7.149999999999999689e-01,5.000000000000000104e-03,9.986744213265218439e-01,9.843090322719917629e-02,0.000000000000000000e+00,9.981448506164540824e-01
7.249999999999999778e-01,5.000000000000000104e-03,9.989782111110588891e-01,9.879063082228216330e-02,0.000000000000000000e+00,9.985699007842798736e-01
7.349999999999999867e-01,5.000000000000000104e-03,9.992466224123102148e-01,9.910839782162364497e-02,0.000000000000000000e+00,9.989454991187979305e-01
7.449999999999999956e-01,5.000000000000000104e-03,9.994683272383351191e-01,9.937082434632160677e-02,0.000000000000000000e+00,9.992557755061187708e-01
7.550000000000000044e-01,5.000000000000000104e-03,9.996406127698086452e-01,9.957472747361821586e-02,0.000000000000000000e+00,9.994969134034356051e-01
7.650000000000000133e-01,5.000000000000000104e-03,9.997671444560964904e-01,9.972446585146152453e-02,0.000000000000000000e+00,9.996740263780941049e-01
7.750000000000000222e-01,5.000000000000000104e-03,9.998552754663960762e-01,9.982875392381050650e-02,0.000000000000000000e+00,9.997973953096277455e-01
7.850000000000000311e-01,5.000000000000000104e-03,9.999136509762602820e-01,9.989782857089835044e-02,0.000000000000000000e+00,9.998791149261598843e-01
7.950000000000000400e-01,5.000000000000000104e-03,9.999505052817825312e-01,9.994143648801161184e-02,0.000000000000000000e+00,9.999307086050377436e-01
8.050000000000000488e-01,5.000000000000000104e-03,9.999727247877563396e-01,9.996772737507667039e-02,0.000000000000000000e+00,9.999618150832660923e-01
8.150000000000000577e-01,5.000000000000000104e-03,9.999855389555347696e-01,9.998288942118847833e-02,0.000000000000000000e+00,9.999797546483577548e-01
